Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030795085,13.85,143,5.0
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.107597879,15.85,58,5.0
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10039894,9.395,89,5.0
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045266806,9.8,36,5.0
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020718655,21.1,130,5.0
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019768503,8.1,88,5.0
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023322478,11.35,182,5.0
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04712061,9.195,53,5.0
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.125602951,11.5,100,5.0
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041571557,19.6,49,5.0
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.078060601,9.195,106,5.0
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021573645,7.42,184,5.0
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.146299902,17.35,150,5.0
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005963881,5.34,99,5.0
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.123710526,6.385,37,5.0
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.047973762600000004,17.25,171,5.0
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0901557736,12.15,39,5.0
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073697713,15.35,91,5.0
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.075701524,12.0,124,5.0
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11349714,14.1,56,5.0
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021420031,8.06,232,5.0
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089859642,14.1,140,5.0
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124301968,19.2,89,5.0
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058220302,13.8,247,5.0
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115563679,9.065,96,5.0
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12780038,14.3,83,5.0
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043651198,5.98,146,5.0
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041479396,10.5,36,5.0
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657459,13.1,175,5.0
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072444983,14.7,48,5.0
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015591925,17.5,184,5.0
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.096929994,19.1,233,5.0
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045761855,19.85,125,5.0
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024432767,9.8,116,5.0
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041950753,10.8,190,5.0
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.058855357,11.8,79,5.0
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024937792,5.88,148,5.0
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105459307,6.775,84,5.0
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.070712031,8.42,216,5.0
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021468792,10.0,251,5.0
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.177629525,19.1,173,5.0
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433033,19.75,104,5.0
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03324652,12.85,172,5.0
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041028937,16.0,142,5.0
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.054947586666666666,5.0,189,5.0
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05190652,5.73,188,5.0
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.067592098,7.81,246,5.0
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081050006,14.35,79,5.0
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210375,6.465,266,5.0
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,94,5.0
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85,264,5.0
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032811503,7.5,239,5.0
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021984639,12.3,191,5.0
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.039517121,18.6,243,5.0
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052274691,7.72,79,5.0
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046747071,8.185,49,5.0
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020664178,16.35,50,5.0
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041065647,9.5,223,5.0
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016921927,12.1,178,5.0
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136500981,16.6,173,5.0
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.030527166,5.175,33,5.0
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048388423,5.4,163,5.0
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.027777042399999997,11.395,149,5.0
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05233528,18.75,108,5.0
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006012413,6.36,163,5.0
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741172,14.6,179,5.0
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059268885,20.25,246,5.0
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027052018,20.7,73,5.0
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033275634,19.35,173,5.0
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01005532,21.25,183,5.0
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012167988,13.1,190,5.0
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.111931193,17.75,108,5.0
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092282353,15.2,227,5.0
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.012679191,18.2,139,5.0
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048160824,18.6,188,5.0
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.032242661,5.46,187,5.0
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.030905215,8.42,227,5.0
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031330907,14.0,52,5.0
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.012036432,17.2,165,5.0
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.063354531,11.35,88,5.0
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.029782937,14.0,146,5.0
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.051596927,20.0,128,5.0
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.054565932,20.1,152,5.0
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014394261,7.35,241,5.0
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.053692878,10.1,222,5.0
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.061301149,5.15,122,5.0
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.03389176525,6.61,186,5.0
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011148865,10.3,84,5.0
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01100413,10.5,167,5.0
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.125528734,13.5,262,5.0
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.044272226,7.52,181,5.0
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.100966837,9.395,86,5.0
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.141406394,9.8,50,5.0
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.038102203,17.75,154,5.0
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.118025091,20.2,195,5.0
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.169137707,7.155,35,5.0
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.154363209,7.84,50,5.0
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.047387144,9.195,50,5.0
